CARACTERÍSTICAS TÉCNICAS	INGECAL
Equipos a presión de más de 0,5 bar	NO
Caldera de uso industrial	NO
Algun otro equipo de combustión industrial	NO
Focos emisores a la atmosfera	NO
Actividades que utilicen productos con disolventes ( pinturas, barnices, tintas, adhesivos, productos de limpieza industrial o desengrase), o procesos donde se evaporen sustancias volátiles	NO
Instalaciones  de calefacción, climatización	SI
Agua sanitaria	NO
Depósitos o acumuladores de agua	NO
Torres de refrigeración o condensadores evaporativos	NO
Humidificadores, nebulizadores o sistemas de humidificación	NO
Otras instalaciones con agua que puedan generar aerosoles	SI
Instalación baja tensión	NO
Instalación alta tensión	NO
Instalación de gas	NO
Almacén de productos químicos / productos peligrosos	NO
Utilización o almacenamiento de más de 10T/año de productos peligrosos	NO
Depósito soterrado de sustancias peligrosas	NO
Depósito de gasóleo, gasolina u otro combustible: enterrado, aéreo o interior	NO
Captaciones de agua  de alguna fuente que no sea la red municipal	NO
Instalaciones frigoríficas	NO
Instalación de energía renovable	NO
Transporta, recibe, envía, carga o descarga mercancías peligrosas (ADR)	NO
Generación de residuos peligrosos: menos o más de 10T/año	NO
Generación de más de 10 T/año de residuos no peligrosos?	NO
Generación de más de 1000 T/año de residuos no peligrosos?	NO
Productor de producto (pone productos envasados en el mercado)	NO
Productor de Aparatos eléctricos o electrónicos	NO
Productor de pilas o baterías	NO
